Experiment,Accuracy,Precision,Recall,F1-score,Loss,Communication Overhead MB
Centralized Training,0.7971344375571588,0.18477227551637715,0.79568291775214,0.29990180951045026,0.8621745109558105,0.0
FL-IID,0.8123971141144193,0.19619312906220984,0.786378861183476,0.31403730400535035,0.8279929757118225,4.5902252197265625
FL-non-IID,0.9138908647495173,0.3330461008186127,0.5753628582061779,0.4218856597080093,1.2908880710601807,4.5902252197265625
FL + Differential Privacy,0.910232699928869,0.32532310177705975,0.5995534052847041,0.42178295588427805,1.259480595588684,4.5902252197265625
