Experiment,Accuracy,Precision,Recall,F1_score,TN,FP,FN,TP
Centralized Training,86.5145064648376,56.13845321795565,14.68383081058141,23.27876205427226,42856,811,6031,1038
FL-IID,86.53421633554083,56.401944894651535,14.768708445324657,23.40807174887892,42860,807,6025,1044
FL-Non-IID,86.43960895616524,57.11060948081265,10.737020795020511,18.075732317218385,43097,570,6310,759
FL-Non-IID + DP,86.56378114159571,57.88485607008761,13.085302022916961,21.345332871812623,42994,673,6144,925
